data__Global.Name,data__Region.Name,data__Sub.region.Name,data__Country.or.Area,data__alpha3,data__Developed...Developing.Countries,data__Least.Developed.Countries..LDC.,data__Intermediate.Region.Code,data__Intermediate.Region.Name,subregion,region,cnnRegion
World,Americas,Latin America and the Caribbean,Brazil,BRA,Developing,,5,South America,Latin America and the Caribbean,Americas,Latin America and the Caribbean
World,Americas,Latin America and the Caribbean,Chile,CHL,Developing,,5,South America,Latin America and the Caribbean,Americas,Latin America and the Caribbean
World,Americas,Latin America and the Caribbean,Colombia,COL,Developing,,5,South America,Latin America and the Caribbean,Americas,Latin America and the Caribbean
World,Americas,Latin America and the Caribbean,Ecuador,ECU,Developing,,5,South America,Latin America and the Caribbean,Americas,Latin America and the Caribbean
World,Americas,Latin America and the Caribbean,Falkland Islands (Malvinas),FLK,Developing,,5,South America,Latin America and the Caribbean,Americas,Latin America and the Caribbean
World,Americas,Latin America and the Caribbean,French Guiana,GUF,Developing,,5,South America,Latin America and the Caribbean,Americas,Latin America and the Caribbean
World,Americas,Latin America and the Caribbean,Guyana,GUY,Developing,,5,South America,Latin America and the Caribbean,Americas,Latin America and the Caribbean
World,Americas,Latin America and the Caribbean,Paraguay,PRY,Developing,,5,South America,Latin America and the Caribbean,Americas,Latin America and the Caribbean
World,Americas,Latin America and the Caribbean,Peru,PER,Developing,,5,South America,Latin America and the Caribbean,Americas,Latin America and the Caribbean
World,Americas,Latin America and the Caribbean,South Georgia and the South Sandwich Islands,SGS,Developing,,5,South America,Latin America and the Caribbean,Americas,Latin America and the Caribbean
World,Americas,Latin America and the Caribbean,Suriname,SUR,Developing,,5,South America,Latin America and the Caribbean,Americas,Latin America and the Caribbean
World,Americas,Latin America and the Caribbean,Uruguay,URY,Developing,,5,South America,Latin America and the Caribbean,Americas,Latin America and the Caribbean
World,Americas,Latin America and the Caribbean,Venezuela (Bolivarian Republic of),VEN,Developing,,5,South America,Latin America and the Caribbean,Americas,Latin America and the Caribbean
World,Americas,Northern America,Bermuda,BMU,Developed,,NA,,Northern America,Americas,North America
World,Americas,Northern America,Canada,CAN,Developed,,NA,,Northern America,Americas,North America
World,Americas,Northern America,Greenland,GRL,Developed,,NA,,Northern America,Americas,North America
World,Americas,Northern America,Saint Pierre and Miquelon,SPM,Developed,,NA,,Northern America,Americas,North America
World,Americas,Northern America,United States of America,USA,Developed,,NA,,Northern America,Americas,North America
World,,,Antarctica,ATA,null,null,NA,,,,
World,Asia,Central Asia,Kazakhstan,KAZ,Developing,,NA,,Central Asia,Asia,Asia
World,Asia,Central Asia,Kyrgyzstan,KGZ,Developing,,NA,,Central Asia,Asia,Asia
World,Asia,Central Asia,Tajikistan,TJK,Developing,,NA,,Central Asia,Asia,Asia
World,Asia,Central Asia,Turkmenistan,TKM,Developing,,NA,,Central Asia,Asia,Asia
World,Asia,Central Asia,Uzbekistan,UZB,Developing,,NA,,Central Asia,Asia,Asia
World,Asia,Eastern Asia,China,CHN,Developing,,NA,,Eastern Asia,Asia,Asia
World,Asia,Eastern Asia,China,HKG,Developing,,NA,,Eastern Asia,Asia,Asia
World,Asia,Eastern Asia,China,MAC,Developing,,NA,,Eastern Asia,Asia,Asia
World,Asia,Eastern Asia,Democratic People's Republic of Korea,PRK,Developing,,NA,,Eastern Asia,Asia,Asia
World,Asia,Eastern Asia,Japan,JPN,Developed,,NA,,Eastern Asia,Asia,Asia
World,Asia,Eastern Asia,Mongolia,MNG,Developing,,NA,,Eastern Asia,Asia,Asia
World,Asia,Eastern Asia,Republic of Korea,KOR,Developing,,NA,,Eastern Asia,Asia,Asia
World,Asia,South-eastern Asia,Brunei Darussalam,BRN,Developing,,NA,,South-eastern Asia,Asia,Asia
World,Asia,South-eastern Asia,Cambodia,KHM,Developing,x,NA,,South-eastern Asia,Asia,Asia
World,Asia,South-eastern Asia,Indonesia,IDN,Developing,,NA,,South-eastern Asia,Asia,Asia
World,Asia,South-eastern Asia,Lao People's Democratic Republic,LAO,Developing,x,NA,,South-eastern Asia,Asia,Asia
World,Asia,South-eastern Asia,Malaysia,MYS,Developing,,NA,,South-eastern Asia,Asia,Asia
World,Asia,South-eastern Asia,Myanmar,MMR,Developing,x,NA,,South-eastern Asia,Asia,Asia
World,Asia,South-eastern Asia,Philippines,PHL,Developing,,NA,,South-eastern Asia,Asia,Asia
World,Asia,South-eastern Asia,Singapore,SGP,Developing,,NA,,South-eastern Asia,Asia,Asia
World,Asia,South-eastern Asia,Thailand,THA,Developing,,NA,,South-eastern Asia,Asia,Asia
World,Asia,South-eastern Asia,Timor-Leste,TLS,Developing,x,NA,,South-eastern Asia,Asia,Asia
World,Asia,South-eastern Asia,Viet Nam,VNM,Developing,,NA,,South-eastern Asia,Asia,Asia
World,Asia,Southern Asia,Afghanistan,AFG,Developing,x,NA,,Southern Asia,Asia,Asia
