date,code,name,totalDoses,peopleVaccinated,peopleFullyVaccinated,total_boosters,dailyDosesAvg,totalDosesPer100,peopleVaccinatedPer100,peopleFullyVaccinatedPer100,total_boosters_per_hundred,dailyDosesAvgPer1M,daily_people_vaccinated,daily_people_vaccinated_per_hundred,firstShotDate,vaccines,cnnRegion
2022-01-04,PYF,French Polynesia,332873,173773,159100,NA,252,117.82,61.51,56.31,NA,892,252,0.089,2021-01-14,"Johnson&Johnson, Pfizer/BioNTech",Oceania
2021-12-15,GAB,Gabon,566021,392898,173123,NA,29825,24.84,17.24,7.6,NA,13088,27362,1.201,2021-03-23,"Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Africa
2021-12-28,GMB,Gambia,294698,263056,249515,NA,1316,11.85,10.58,10.03,NA,529,1284,0.052,2021-03-10,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",Africa
2022-01-11,GEO,Georgia,2577637,1398226,1179411,NA,7087,64.77,35.13,29.64,NA,1781,3829,0.096,2021-03-15,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",Asia
2022-01-11,DEU,Germany,155365945,62158449,60004889,36786897,584793,185.18,74.09,71.52,43.85,6970,43475,0.052,2020-12-26,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Europe
2022-01-06,GHA,Ghana,8848172,6275099,2573073,NA,78067,27.88,19.78,8.11,NA,2460,35763,0.113,2021-03-02,"Oxford/AstraZeneca, Sputnik V",Africa
2022-01-11,GIB,Gibraltar,108913,41220,40110,27583,55,323.27,122.35,119.05,81.87,1632,4,0.012,2021-01-10,Pfizer/BioNTech,Europe
2022-01-11,GRC,Greece,18009619,7564842,7123148,4044370,70586,173.66,72.94,68.69,39,6806,9245,0.089,2021-01-04,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Europe
2022-01-04,GRL,Greenland,78558,40469,38089,NA,7,138.14,71.16,66.98,NA,123,3,0.005,2021-01-04,Moderna,North America
2022-01-07,GRD,Grenada,81106,41767,36056,NA,175,71.77,36.96,31.9,NA,1548,32,0.028,2021-02-12,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech",Latin America and the Caribbean
2022-01-10,GTM,Guatemala,11854725,6645061,4869309,340355,72079,64.96,36.41,26.68,1.86,3950,13645,0.075,2021-02-25,"Moderna, Oxford/AstraZeneca",Latin America and the Caribbean
2022-01-10,GGY,Guernsey,144021,NA,NA,NA,425,227.22,NA,NA,NA,6705,NA,NA,2020-12-17,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Europe
2022-01-07,GIN,Guinea,3419035,2467717,1290932,NA,66683,25.33,18.28,9.56,NA,4940,62993,0.467,2020-12-30,Sputnik V,Africa
2022-01-07,GNB,Guinea-Bissau,414465,391320,23145,NA,50,20.56,19.42,1.15,NA,25,50,0.002,2021-04-02,"Oxford/AstraZeneca, Sinopharm/Beijing",Africa
2022-01-01,GUY,Guyana,718219,411081,295325,11813,839,90.88,52.01,37.37,1.49,1062,199,0.025,2021-02-11,"Oxford/AstraZeneca, Sputnik V",Latin America and the Caribbean
2022-01-01,HTI,Haiti,199874,125187,75028,NA,521,1.73,1.08,0.65,NA,45,243,0.002,2021-07-16,"Johnson&Johnson, Moderna",Latin America and the Caribbean
2022-01-07,HND,Honduras,9871482,5016061,4349744,506052,31380,98.1,49.85,43.23,5.03,3118,11189,0.111,2021-02-25,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",Latin America and the Caribbean
2022-01-11,HKG,Hong Kong,10322287,5051076,4706495,564716,39787,136.67,66.88,62.31,7.48,5268,17672,0.234,2021-02-26,"Pfizer/BioNTech, Sinovac",Asia
2022-01-11,ISL,Iceland,727886,291973,284827,210230,1335,197.37,79.17,77.23,57.01,3620,508,0.138,2020-12-29,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Europe
2022-01-11,IND,India,1537841948,895852039,640117846,NA,9358811,110.37,64.29,45.94,NA,6716,5437646,0.39,2021-01-16,"Covaxin, Oxford/AstraZeneca, Sputnik V",Asia
2022-01-10,IDN,Indonesia,288389864,171056204,117333660,NA,1024294,104.35,61.9,42.46,NA,3706,628905,0.228,2021-01-13,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",Asia
2022-01-09,IRN,Iran,122153249,60062247,52530978,NA,459558,143.66,70.64,61.78,NA,5405,40213,0.047,2021-02-09,"COVIran Barekat, Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Soberana02, Sputnik V",Asia
2022-01-10,IRQ,Iraq,14714511,8735048,5945854,NA,46020,35.73,21.21,14.44,NA,1118,21206,0.051,2021-03-27,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Asia
2022-01-10,IRL,Ireland,9929480,3902171,3847762,2416945,26288,199.27,78.31,77.22,48.5,5276,743,0.015,2020-12-29,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Europe
2022-01-11,IMN,Isle of Man,182744,68969,65807,47968,543,213.96,80.75,77.05,56.16,6358,24,0.028,2021-01-04,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Europe
2022-01-11,ISR,Israel,17421346,6649940,5988432,4782974,76845,187.51,71.57,64.45,51.48,8271,7443,0.08,2020-12-19,"Moderna, Pfizer/BioNTech",Asia
2022-01-11,ITA,Italy,117019459,49058595,45147877,24314983,580759,193.85,81.27,74.79,40.28,9620,69918,0.116,2020-12-27,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Europe
2022-01-11,JAM,Jamaica,1242001,724005,584455,10963,3846,41.77,24.35,19.66,0.37,1293,1367,0.046,2021-03-10,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Latin America and the Caribbean
2022-01-11,JPN,Japan,201558997,101151742,99456201,951054,140648,159.9,80.25,78.9,0.75,1116,51196,0.041,2021-02-17,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Asia
2022-01-05,JEY,Jersey,213492,81670,77327,NA,508,211.23,80.8,76.51,NA,5026,29,0.029,2020-12-13,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Europe
2021-12-28,JOR,Jordan,8265793,4331942,3933851,NA,13670,80.49,42.18,38.31,NA,1331,5927,0.058,2021-01-13,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Asia
2022-01-11,KAZ,Kazakhstan,17575249,9018784,8556465,NA,6109,92.53,47.48,45.05,NA,322,2480,0.013,2021-02-01,"QazVac, Sinopharm/Beijing, Sputnik V",Asia
2022-01-10,KEN,Kenya,10696021,7182660,4533842,59712,67863,19.45,13.06,8.25,0.11,1234,40602,0.074,2021-03-05,"Oxford/AstraZeneca, Sputnik V",Africa
2022-01-11,KIR,Kiribati,111686,71152,40534,NA,1018,92.01,58.62,33.39,NA,8386,668,0.55,2021-05-26,Oxford/AstraZeneca,Oceania
2022-01-10,KWT,Kuwait,7119791,3345561,3230155,NA,12473,164.48,77.29,74.62,NA,2882,853,0.02,2020-12-24,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Asia
2022-01-11,KGZ,Kyrgyzstan,2311609,1253785,1017966,NA,5615,34.87,18.92,15.36,NA,847,2230,0.034,2021-03-29,"Sinopharm/Beijing, Sputnik V",Asia
2022-01-11,LVA,Latvia,2645112,1323265,1273522,329846,9810,141.68,70.88,68.21,17.67,5255,909,0.049,2020-12-28,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Europe
2022-01-11,LBN,Lebanon,4625701,2371596,1891357,362748,27218,68.34,35.04,27.94,5.36,4021,12949,0.191,2021-02-14,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Asia
2021-12-16,LSO,Lesotho,688097,648817,641007,NA,6527,31.87,30.05,29.69,NA,3023,2768,0.128,2021-03-10,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",Africa
2021-12-31,LBR,Liberia,1146910,1017128,984421,NA,16662,22.14,19.63,19,NA,3216,14518,0.28,2021-04-01,Oxford/AstraZeneca,Africa
2022-01-10,LBY,Libya,2847131,1933677,913454,NA,17974,40.92,27.79,13.13,NA,2583,8697,0.125,2021-04-10,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",Africa
